Customer_ID,Name,Age,Gender,Location,Join_Date,Total_Spent
2062,Julian Bailey,35,Male,Los Angeles,2024-10-07,804.75
2063,Maverick Nelson,36,Male,Baltimore,2024-08-09,477.4
2064,Nolan Brown,50,Male,Dallas,2025-12-20,238.0
2065,Elias White,40,Male,Nashville,2025-12-07,274.0
2066,Quinn Gonzalez,30,Female,Austin,2025-06-26,1195.75
2067,Hunter Perez,27,Male,Orlando,2024-01-19,592.5
2068,Noah Stewart,59,Male,Houston,2023-05-29,384.5
2069,Aiden Ortiz,42,Male,Los Angeles,2024-07-04,1658.35
2070,Addison Brooks,25,Female,Minneapolis,2025-11-20,312.0
2071,Audrey Reed,43,Female,New York,2023-06-17,2013.4
2072,Gabriel Young,25,Male,New York,2025-04-17,1130.0
2073,James Robinson,28,Male,Orlando,2026-05-19,31.5
2074,Paisley Ortiz,35,Female,Seattle,2025-07-02,165.0
2075,Daniel Stewart,45,Male,Cleveland,2025-06-09,255.5
2076,Mia Torres,27,Female,Austin,2026-04-13,110.0
2077,Julian Scott,29,Male,Las Vegas,2025-03-27,1292.4
2078,Lily Reyes,47,Female,Boston,2025-05-12,295.0
2079,Asher Stewart,42,Male,Fort Worth,2026-04-22,163.4
2080,Caroline Miller,33,Female,Pittsburgh,2023-09-24,1312.8
2081,Asher Lee,19,Male,Baltimore,2024-08-22,367.5
2082,Maya Wilson,33,Female,Atlanta,2025-07-30,427.5
2083,Lily Hernandez,25,Female,Portland,2026-06-21,29.75
2084,Victoria Peterson,48,Female,Miami,2025-04-21,562.5
2085,Carter Bailey,18,Male,San Diego,2023-02-20,30.0
2086,Joseph Wilson,18,Male,Houston,2026-01-10,45.0
2087,Genesis Jones,31,Female,Phoenix,2024-03-14,987.5
2088,Caroline Howard,44,Female,Philadelphia,2025-01-04,155.5
2089,Brooklyn Brooks,27,Female,Portland,2025-08-27,119.75
2090,Aurora Williams,30,Female,San Jose,2025-08-05,1449.6
2091,Jack Hernandez,20,Male,Columbus,2025-05-12,1181.0
2092,Leo Flores,25,Male,Seattle,2023-08-08,5341.9
2093,Brooklyn Ramos,33,Female,Orlando,2025-04-05,564.25
2094,Mason Williams,31,Male,Atlanta,2025-12-29,84.0
2095,Adrian Richardson,49,Male,San Diego,2026-03-31,526.5
2096,Samuel Robinson,23,Male,Las Vegas,2025-11-17,51.2
2097,Aaron Jackson,28,Male,Charlotte,2026-05-13,174.5
2098,Addison Moore,26,Female,Atlanta,2023-06-21,1982.0
2099,Aria Moore,25,Female,Dallas,2026-04-27,65.0
2100,Michael Murphy,43,Male,Baltimore,2025-04-05,525.85
2101,Emily Morris,55,Female,Atlanta,2024-12-01,1746.3
2102,Aiden Kelly,29,Male,New York,2026-03-05,45.0
2103,Ella Stewart,33,Female,Portland,2026-02-07,251.0
2104,William Walker,44,Male,Boston,2025-11-16,72.5
2105,Natalie Martinez,29,Female,Houston,2025-08-04,663.0
2106,Maya Flores,18,Female,San Diego,2024-11-09,864.3
2107,Lucas Phillips,32,Male,Columbus,2025-12-19,485.13
2108,Thomas Lee,18,Male,Orlando,2025-12-09,60.0
2109,Caroline Torres,18,Female,Baltimore,2023-07-31,1910.82
2110,Lucy Bailey,43,Female,Los Angeles,2025-12-03,104.5
2111,Riley Taylor,40,Female,Portland,2026-03-26,105.0
2112,Charlie Davis,38,Male,Phoenix,2025-02-24,190.0
2113,Jackson Martinez,18,Male,San Diego,2025-10-04,566.75
2114,Chloe Ward,23,Female,Phoenix,2024-04-16,1124.35
2115,Grayson King,37,Male,Jacksonville,2024-11-04,724.5
2116,Daniel Cox,29,Male,Los Angeles,2023-04-17,1823.3
2117,Kennedy Cooper,24,Female,Nashville,2023-02-17,1116.1
2118,Lydia Robinson,37,Female,Tampa,2024-08-30,863.75
2119,Lincoln Morgan,72,Male,Baltimore,2023-12-23,937.3
2120,Abigail Cook,41,Female,Cleveland,2025-07-21,192.0
2121,Chloe Martinez,19,Female,Fort Worth,2023-12-13,2194.5
2122,Luke Hill,25,Male,Houston,2025-11-07,295.0
2123,Henry Reed,26,Male,Austin,2025-02-02,712.25
2124,Aiden Parker,36,Male,Austin,2025-04-18,270.0
2125,Jacob Lee,37,Male,Columbus,2025-08-11,80.0
2126,Lucy Moore,36,Female,Boston,2025-10-26,1189.3
2127,Lincoln Taylor,44,Male,Pittsburgh,2026-04-25,240.0
2128,Jeremiah Nguyen,29,Male,Nashville,2025-05-17,299.1
2129,Lily Murphy,39,Female,Minneapolis,2023-03-13,264.45
2130,Natalie Cruz,25,Female,Orlando,2026-06-24,64.0
2131,Jaxon Kelly,38,Male,Philadelphia,2024-05-24,2968.0
2132,Luna Hall,26,Female,Phoenix,2025-01-05,2996.45
2133,Aiden Martinez,51,Male,San Antonio,2023-12-18,1562.4
2134,Cora Hall,37,Female,Austin,2023-06-30,973.42
2135,Jayden Ward,42,Male,Las Vegas,2023-02-12,493.2
2136,Maya Cruz,46,Female,Dallas,2025-07-20,1672.0
2137,Julia Thomas,27,Female,Denver,2023-03-15,398.0
2138,Noah Robinson,20,Male,New York,2025-11-03,611.0
2139,Stella Jackson,43,Female,Columbus,2025-04-01,334.5
2140,Brooklyn Peterson,42,Female,Orlando,2025-08-29,108.75
2141,Samuel Hernandez,22,Male,Chicago,2026-02-03,60.0
2142,Jayden Cruz,38,Male,Columbus,2026-01-13,210.0
2143,Samantha Brown,45,Female,Miami,2024-12-28,2347.25
2144,James Edwards,30,Male,Nashville,2025-02-24,287.5
2145,Amelia Evans,37,Female,Chicago,2026-02-05,1207.2
2146,Emily Cooper,52,Female,Jacksonville,2026-05-14,90.0
2147,Chloe Young,36,Female,Minneapolis,2023-05-31,1064.0
2148,Levi Chavez,39,Male,Minneapolis,2026-02-10,892.7
2149,Jaxon Howard,21,Male,Austin,2026-07-02,96.0
2150,Mia Morales,60,Female,Dallas,2025-04-11,973.2
2151,Samuel Gutierrez,44,Male,San Jose,2023-09-18,1218.28
2152,Harper Watson,36,Female,Nashville,2025-06-09,705.3
2153,Ryan Miller,28,Male,Seattle,2026-03-17,128.25
2154,Ava Reyes,26,Female,Austin,2024-05-08,2004.75
2155,James Gutierrez,25,Male,Denver,2024-08-25,1718.5
2156,Zoe Mitchell,18,Female,Columbus,2025-03-27,1655.25
2157,Jaxon Ward,29,Male,Boston,2023-12-17,138.0
2158,Sebastian King,42,Male,Pittsburgh,2025-12-10,430.0
2159,Theodore Baker,42,Male,Portland,2024-01-03,2975.35
2160,Aiden Moore,29,Male,San Jose,2026-06-03,60.0
2161,Leo Baker,42,Male,Las Vegas,2025-12-19,70.0
2162,James Cruz 2,18,Male,San Jose,2024-07-31,424.9
2163,Stella Hall,34,Female,Chicago,2025-08-20,220.5
2164,Evelyn Gutierrez,39,Female,Cleveland,2026-04-01,27.0
2165,Madison Brooks,44,Female,Minneapolis,2023-08-03,1592.5
2166,Landon Thompson,51,Male,Jacksonville,2024-08-30,794.62
2167,Daniel Collins,35,Male,San Diego,2026-02-09,244.8
2168,Alice Sanchez,26,Female,Charlotte,2026-06-08,60.0
2169,Skylar Roberts,37,Female,Detroit,2025-07-04,1005.0
2170,Aurora Davis,40,Female,Boston,2026-04-25,399.5
2171,Charles Morgan,34,Male,Cleveland,2025-03-28,1725.7
2172,Allison Gonzalez,25,Female,Charlotte,2025-02-07,736.25
2173,Jonathan Jones,26,Male,Chicago,2025-06-18,1070.5
2174,Sofia Adams,41,Female,Portland,2026-04-04,695.5
2175,Chloe Jackson,18,Female,Minneapolis,2024-05-17,1995.0
2176,David Watson,37,Male,Dallas,2023-02-26,787.75
2177,Lily Reed,18,Female,San Diego,2025-11-09,580.0
2178,Olivia Young,42,Female,Charlotte,2026-03-07,1683.65
2179,Piper Ward,18,Female,San Jose,2025-11-24,375.0
2180,Willow Young,26,Female,Las Vegas,2025-01-10,2106.2
2181,Addison Martinez,36,Female,New York,2025-09-28,889.6
2182,Alice Miller,21,Female,Dallas,2026-06-28,25.0
2183,Samuel Martinez,20,Male,Atlanta,2024-02-09,1381.15
2184,Lucas Miller,20,Male,Portland,2025-05-07,1496.55
2185,Ruby Murphy,51,Female,Charlotte,2026-03-18,114.0
2186,Aria Miller,41,Female,Austin,2026-05-02,44.0
2187,Julian Evans,33,Male,San Antonio,2025-09-27,55.0
2188,Olivia Baker,52,Female,Columbus,2024-03-16,1683.75
2189,Maverick Collins,46,Male,Seattle,2025-06-11,295.0
2190,Sophie Scott 2,31,Female,Chicago,2026-01-24,1038.75
2191,Layla Bailey,29,Female,Charlotte,2023-03-10,634.4
2192,Joseph Thompson,42,Male,Los Angeles,2025-05-17,752.2
2193,Adrian Campbell,21,Male,Los Angeles,2025-07-15,403.25
2194,Samantha Mitchell,19,Female,Philadelphia,2026-02-08,247.5
2195,Theodore Richardson,39,Male,Portland,2025-07-17,68.1
2196,Ivy Howard,39,Female,Charlotte,2023-04-06,759.75
2197,Jacob Collins,23,Male,Portland,2025-10-17,67.5
2198,Emily Jones,31,Female,Fort Worth,2025-08-28,218.8
2199,Henry Wright,37,Male,Miami,2026-01-10,275.75
2200,Carter Clark,48,Male,Charlotte,2024-04-13,2564.7
2201,Maya Gonzalez,50,Female,Miami,2026-06-20,81.0
2202,Paisley Flores,32,Female,Pittsburgh,2026-01-15,772.25
2203,Levi Mitchell,35,Male,Tampa,2024-11-14,1351.37
2204,Addison Reed,39,Female,Boston,2025-08-07,5780.15
2205,Harper Martinez,31,Female,Minneapolis,2024-06-30,1131.6
2206,Isabella Moore,20,Female,Charlotte,2025-12-01,193.2
2207,Sophie Rivera,20,Female,Minneapolis,2024-03-31,2727.35
2208,Joseph Gutierrez,29,Male,Houston,2024-09-12,175.0
2209,Genesis Thompson,38,Female,Denver,2024-05-27,868.05
2210,Hunter Lopez,60,Male,Boston,2023-12-19,2094.68
2211,Genesis Watson,46,Female,Phoenix,2025-08-31,565.7
2212,Madison Howard,56,Female,Chicago,2024-04-19,556.37
2213,Savannah Ramirez,25,Female,Portland,2025-07-02,1897.35
2214,Leo Flores 2,24,Male,Las Vegas,2026-03-14,55.0
2215,Cora Hernandez,23,Female,Austin,2024-12-16,105.25
2216,Logan Adams,40,Male,Fort Worth,2026-04-17,485.0
2217,Lucy Ortiz,25,Female,San Diego,2025-04-23,1288.75
2218,Olivia Hill,35,Female,Columbus,2026-04-19,198.0
2219,Zoe Nelson,36,Female,Denver,2026-01-20,2101.5
2220,Luna Rogers,40,Female,Denver,2024-06-01,592.0
2221,Hazel Lewis,31,Female,Orlando,2024-09-04,90.0
2222,Wyatt Nguyen,48,Male,Columbus,2026-04-09,162.0
2223,Savannah Mitchell,22,Female,San Antonio,2025-05-27,235.0
2224,Skylar Hernandez,42,Female,Boston,2025-07-26,1634.15
2225,Ella Moore,36,Female,Jacksonville,2025-06-16,2014.4
2226,Alexander Richardson,24,Male,Los Angeles,2025-08-29,577.85
2227,Victoria Morales,38,Female,Pittsburgh,2024-12-09,3210.3
2228,Jack Evans,30,Male,San Jose,2026-02-01,184.75
2229,Julian Ortiz,27,Male,Jacksonville,2026-01-13,400.0
2230,Emily Parker,53,Female,Atlanta,2026-03-09,50.4
2231,Dylan Jones,18,Male,Nashville,2025-03-13,983.5
2232,Thomas Davis,18,Male,Portland,2024-12-27,901.12
2233,Aaron Roberts,60,Male,Houston,2024-01-12,256.75
2234,Maya Adams,39,Female,San Antonio,2025-06-30,895.0
2235,Alice Rodriguez,18,Female,Seattle,2025-09-11,1211.35
2236,Penelope White,19,Female,Boston,2025-09-20,1268.5
2237,Savannah Watson,32,Female,San Jose,2026-06-14,65.0
2238,Charles Ramirez,43,Male,Seattle,2025-08-21,735.0
2239,Claire Nguyen,18,Female,Orlando,2024-01-10,6416.3
2240,Chloe Hill,55,Female,Chicago,2024-06-07,980.8
2241,Maya King,38,Female,Boston,2025-02-01,791.25
2242,Lucas Anderson,26,Male,San Diego,2025-10-26,902.2
2243,Ivy Robinson,19,Female,Houston,2024-09-08,1738.55
2244,Lucas Johnson,43,Male,Philadelphia,2026-06-26,75.0
2245,Alice Murphy,31,Female,Los Angeles,2026-02-11,469.5
2246,James Ramos,42,Male,Baltimore,2024-02-12,462.25
2247,Adrian White,36,Male,Orlando,2026-04-03,139.1
2248,Piper Harris,32,Female,Pittsburgh,2026-06-17,60.0
2249,Maya Williams,42,Female,Charlotte,2023-12-02,1113.52
2250,Grayson Cooper,29,Male,Baltimore,2026-06-03,132.0
2251,Audrey Sanchez,32,Female,Miami,2025-05-01,1096.25
2252,Madison Hill,18,Female,Philadelphia,2026-02-12,220.0
2253,Dylan Turner,47,Male,Philadelphia,2025-09-08,809.0
2254,Wyatt Nelson,42,Male,Fort Worth,2024-07-14,2903.8
2255,Audrey Baker,49,Female,Miami,2024-02-04,2354.5
2256,Ella Morris,35,Female,Denver,2023-08-19,1394.25
2257,Eli Green,43,Male,San Diego,2025-11-29,247.2
2258,Grace Murphy,30,Female,Detroit,2024-02-17,1100.2
2259,Alice Peterson,35,Female,Detroit,2026-03-26,60.0
2260,James Cooper,18,Male,Chicago,2026-01-09,342.5
2261,Henry Rodriguez,38,Male,Philadelphia,2026-05-13,176.0
2262,Sophie Collins,47,Female,Nashville,2023-05-04,982.5
2263,Julia Reyes,21,Female,Los Angeles,2025-07-28,510.5
2264,Jaxon Green,32,Male,Orlando,2025-06-18,220.0
2265,Stella Kim,29,Female,Los Angeles,2023-08-28,6074.85
2266,Oliver Morales,20,Male,Minneapolis,2023-08-20,1370.83
2267,Kennedy Carter,50,Female,Fort Worth,2025-06-08,638.8
2268,Grace Rivera,18,Female,Fort Worth,2024-06-27,1349.75
2269,Natalie Johnson,18,Female,Columbus,2026-06-27,75.0
2270,Caleb Walker,38,Male,Dallas,2023-07-18,1105.4
2271,Emily Garcia,36,Female,New York,2025-07-04,198.0
2272,Mia Wilson,18,Female,Las Vegas,2025-07-23,664.6
2273,Liam Allen,34,Male,Baltimore,2025-06-22,288.25
2274,Lucas Gutierrez,41,Male,Pittsburgh,2025-02-17,442.4
2275,Logan Ramos,29,Male,Phoenix,2025-12-21,153.0
2276,Luke Robinson,42,Male,Boston,2025-03-21,1248.05
2277,Eli White,18,Male,Portland,2025-07-10,945.4
2278,Ryan Cooper,34,Male,Phoenix,2023-08-24,1367.25
2279,Layla Peterson,28,Female,Tampa,2026-04-10,170.0
2280,Ava Kelly,50,Female,Denver,2025-07-02,345.8
2281,Violet King,52,Female,Chicago,2023-12-25,395.5
2282,Christian Sanchez,23,Male,Detroit,2023-08-04,5173.95
2283,Connor Hernandez,31,Male,Seattle,2024-02-24,1123.99
2284,Victoria Flores,20,Female,Pittsburgh,2024-07-27,1011.5
2285,Ella Murphy,30,Female,San Diego,2026-01-04,395.5
2286,Aaron Nguyen,23,Male,Jacksonville,2025-09-21,135.0
2287,Addison Ortiz,39,Female,Minneapolis,2025-08-06,685.0
2288,Adrian Ramirez,18,Male,Nashville,2025-06-30,935.0
2289,Maverick Martin,18,Male,San Jose,2023-11-05,1013.2
2290,Victoria Walker,25,Female,Seattle,2026-03-31,45.25
2291,Nolan Hall,49,Male,Seattle,2024-03-27,241.6
2292,Willow Thompson,30,Female,Philadelphia,2023-11-02,2775.5
2293,Grayson Rodriguez,52,Male,Los Angeles,2026-04-04,108.0
2294,John Jackson,43,Male,Miami,2025-02-15,275.0
2295,Stella Gutierrez,18,Female,Pittsburgh,2024-09-17,866.85
2296,Quinn Brown,18,Female,New York,2023-11-05,554.1
2297,Claire Peterson,40,Female,Tampa,2024-07-29,289.75
2298,Levi Anderson,18,Male,San Diego,2025-09-14,620.35
2299,Ivy King,25,Female,Fort Worth,2025-03-15,151.0
2300,Violet Robinson,40,Female,Chicago,2024-03-31,649.9
2301,Hunter Garcia,30,Male,New York,2023-08-05,4654.78
2302,James Rogers,32,Male,Austin,2025-12-03,713.75
2303,Hunter Wilson,37,Male,Miami,2026-05-22,140.0
2304,Wyatt Scott,57,Male,Pittsburgh,2023-02-23,2409.0
2305,Maya White,48,Female,Minneapolis,2025-04-19,22.5
2306,Caleb Evans,30,Male,Nashville,2025-04-08,1174.38
2307,Ivy Bailey,54,Female,Atlanta,2024-02-21,715.5
2308,Eleanor Davis,59,Female,Chicago,2023-05-18,241.38
2309,Anna Nelson,46,Female,Jacksonville,2023-06-09,742.5
2310,Asher Edwards,33,Male,Fort Worth,2023-11-23,1021.15
2311,Paisley Allen,43,Female,Portland,2024-10-08,1616.75
2312,Ivy Adams,48,Female,San Jose,2024-10-18,1082.25
2313,Audrey Anderson,20,Female,Columbus,2023-04-24,2672.65
2314,Harper Campbell,38,Female,Tampa,2025-11-02,1029.4
2315,Ivy Williams,54,Female,Cleveland,2023-08-09,909.13
2316,Daniel Ramos,46,Male,Philadelphia,2025-12-29,35.0
2317,Genesis Scott,23,Female,Seattle,2024-09-20,971.0
2318,Jacob King,38,Male,Seattle,2026-01-20,1031.5
2319,Alexander Stewart,43,Male,Detroit,2023-06-26,3051.2
2320,Victoria Collins,30,Female,Baltimore,2024-03-24,1017.92
2321,Gabriel Jackson,29,Male,Philadelphia,2023-12-02,759.0
2322,Jeremiah Adams,22,Male,Seattle,2024-01-20,1161.7
2323,Ryan Allen,36,Male,Pittsburgh,2023-06-13,211.5
2324,Theo Bailey,23,Male,New York,2024-02-28,2065.95
2325,Leo Ramirez,26,Male,Tampa,2025-04-02,572.0
2326,Jaxon Rogers,18,Male,Dallas,2023-06-25,599.0
2327,Charles Cruz,46,Male,Fort Worth,2024-10-01,911.55
2328,Jonathan Parker,33,Male,Jacksonville,2026-03-05,174.0
2329,Nathan Peterson,40,Male,Las Vegas,2026-05-19,70.0
2330,Emma Howard,39,Female,Fort Worth,2025-12-24,278.0
2331,Owen Edwards,37,Male,Boston,2023-03-08,267.0
2332,Jayden Robinson,51,Male,Minneapolis,2025-06-14,1996.12
2333,Isaiah Gutierrez,24,Male,Pittsburgh,2024-06-29,150.0
2334,Henry Martin,34,Male,Tampa,2023-07-16,1623.5
2335,Sadie Rivera,30,Female,San Jose,2025-07-17,762.75
2336,Emily Brown,24,Female,Las Vegas,2025-12-05,167.2
2337,Jonathan Allen,28,Male,Charlotte,2025-10-03,2510.0
2338,Samantha Chavez,44,Female,Columbus,2023-12-22,190.0
2339,Aria Reyes,31,Female,Minneapolis,2025-06-13,223.75
2340,Ryan Martinez,26,Male,Boston,2026-03-10,30.0
2341,Layla Clark,42,Female,Portland,2025-03-11,22.5
2342,Ivy Watson,23,Female,Jacksonville,2024-11-08,796.85
2343,Anthony White,29,Male,Chicago,2026-01-11,196.5
2344,Logan Taylor,48,Male,Jacksonville,2023-03-18,2924.35
2345,Julian Phillips,28,Male,Portland,2024-11-29,1338.0
2346,Adrian White 2,38,Male,Phoenix,2025-08-22,504.55
2347,Sarah Brooks,39,Female,Orlando,2023-07-25,2314.85
2348,Lydia Rogers,34,Female,Miami,2025-08-23,50.5
2349,Carter Thompson,34,Male,Dallas,2023-01-31,189.0
2350,Skylar Thompson,24,Female,Minneapolis,2025-10-12,743.25
2351,Isaac Ortiz,37,Male,Jacksonville,2023-03-16,657.05
2352,Elias Miller,18,Male,San Antonio,2025-07-20,20.25
2353,William Allen,24,Male,Orlando,2024-06-30,1085.55
2354,Ella Young,37,Female,Miami,2024-02-12,515.3
2355,Kinsley Thompson,41,Female,Nashville,2026-03-01,73.0
2356,Claire Ward,18,Female,Miami,2025-04-26,734.5
2357,Audrey Ortiz,57,Female,Tampa,2025-12-25,75.0
2358,Ava Torres,49,Female,Baltimore,2024-11-19,237.25
2359,Chloe Nelson,28,Female,Nashville,2026-02-15,325.5
2360,Dylan Parker,22,Male,Tampa,2024-10-02,2023.1
2361,James Turner,43,Male,Seattle,2025-03-23,2735.1
2362,Alice Gonzalez,29,Female,Las Vegas,2025-07-31,411.75
2363,Hunter Martinez,54,Male,Seattle,2025-06-19,408.5
2364,Skylar Hall,29,Female,Baltimore,2024-11-23,951.75
2365,Madison Davis,35,Female,Pittsburgh,2023-12-14,841.4
2366,David Stewart,32,Male,San Antonio,2024-06-08,971.75
2367,Adrian Moore,49,Male,Chicago,2025-04-10,388.75
2368,Michael Lopez,18,Male,Philadelphia,2026-05-13,35.0
2369,Luna Walker,40,Female,Chicago,2024-10-17,2880.25
2370,Natalie Morgan,38,Female,Miami,2024-07-18,835.55
2371,Ella Cruz,34,Female,Tampa,2025-08-14,22.5
2372,Penelope Carter,38,Female,Minneapolis,2024-11-28,508.62
2373,Connor Jackson,46,Male,Detroit,2025-12-23,35.0
2374,David Rivera,39,Male,Phoenix,2025-11-22,270.0
2375,Anthony Collins,48,Male,Nashville,2024-10-13,645.0
2376,Samuel Cruz,44,Male,Dallas,2023-03-30,1239.0
2377,Daniel Reed,28,Male,New York,2026-01-20,216.0
2378,Lincoln Flores,59,Male,San Antonio,2023-12-04,6553.47
2379,Sebastian Davis,34,Male,San Diego,2026-03-07,90.0
2380,Isabella Cooper,44,Female,Jacksonville,2024-07-22,3008.5
2381,Lucas Phillips 2,22,Male,Minneapolis,2025-10-14,1209.0
2382,Isabella Brown,46,Female,San Antonio,2024-07-25,348.0
2383,Ava Evans,22,Female,Miami,2025-11-22,190.75
2384,Naomi Peterson,33,Female,San Jose,2025-03-22,1047.9
2385,Ellie Lee,20,Female,Las Vegas,2025-06-14,162.0
2386,Ethan Edwards,18,Male,Los Angeles,2026-04-08,861.0
2387,Allison Thomas,27,Female,Atlanta,2025-11-09,705.08
2388,Diana Jackson,50,Female,Jacksonville,2024-12-21,355.0
2389,Savannah Thompson,46,Female,Houston,2026-02-07,48.0
2390,Charlie Baker,21,Male,Chicago,2025-03-18,1352.5
2391,Isabella Rogers,19,Female,Jacksonville,2025-05-23,197.5
2392,Abigail Ramos,34,Female,Atlanta,2024-11-09,336.0
2393,Emma Williams,29,Female,Pittsburgh,2023-09-23,1731.25
2394,Noah Reed,38,Male,Portland,2026-01-16,162.5
2395,Layla Allen,33,Female,Jacksonville,2026-01-20,679.0
2396,Olivia White,38,Female,Los Angeles,2023-10-16,3210.9
2397,Oliver Morris,32,Male,Charlotte,2026-02-22,815.0
2398,Aria Hill,38,Female,Detroit,2025-04-11,198.0
2399,Lucy Cox,36,Female,Boston,2026-07-08,25.0
2400,Daniel Lee,18,Male,San Diego,2023-08-21,348.0
2401,Dylan Williams,22,Male,Atlanta,2024-07-04,28.0
2402,Ellie Cooper,18,Female,Los Angeles,2025-07-05,3245.5
2403,Theodore Torres,44,Male,Miami,2024-05-20,192.0
2404,Leo Lopez,25,Male,Portland,2025-09-02,382.5
2405,Oliver Cox,41,Male,Dallas,2025-07-15,4318.65
2406,Jonathan Evans,32,Male,Austin,2026-01-29,1640.5
2407,Leah Hernandez,34,Female,Houston,2024-11-27,1048.2
2408,Ruby Adams,28,Female,Minneapolis,2025-09-22,415.0
2409,Luna Morris,43,Female,Orlando,2023-03-19,409.0
2410,Gabriel Miller,48,Male,Phoenix,2024-04-15,645.0
2411,Violet Campbell,27,Female,Philadelphia,2024-09-05,1125.8
2412,Samantha Reyes,53,Female,Houston,2025-10-02,285.0
2413,Grace Taylor,39,Female,Orlando,2024-04-01,6687.8
2414,Amelia Kim,33,Female,Chicago,2026-05-21,255.0
2415,Mia Clark,50,Female,Orlando,2025-07-21,120.0
2416,Henry Miller,51,Male,Pittsburgh,2024-09-06,1470.1
2417,Caleb Evans 2,24,Male,Pittsburgh,2025-06-08,721.2
2418,Claire Reyes,38,Female,Detroit,2024-08-20,1176.7
2419,Leo Hill,29,Male,Fort Worth,2026-04-30,55.0
2420,Aria Cooper,34,Female,Boston,2024-06-27,2001.0
2421,Asher Campbell,26,Male,Austin,2026-02-27,135.0
2422,Layla Jones,45,Female,Cleveland,2023-05-11,289.0
